brand_name,handle_or_page,instagram_url,tiktok_url,website_url,dm_url,niche,market,notes,fit_score,fit_reason,status,first_seen,last_seen,source_urls
Kool-Aid-Man,@Kool-aid-man,,https://www.tiktok.com/@static_preform,,https://www.tiktok.com/@static_preform,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Deel,@Deel,,https://www.tiktok.com/@deeljojo,,https://www.tiktok.com/@deeljojo,تجارة إلكترونية / محتوى,GP,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Nawab Zada,@Nawab zada,,https://www.tiktok.com/@abdulrazzaqsiyal41,,https://www.tiktok.com/@abdulrazzaqsiyal41,تجارة إلكترونية / محتوى,PK,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Zoey,@zoey,,https://www.tiktok.com/@_pepperwoodchronicles_,,https://www.tiktok.com/@_pepperwoodchronicles_,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Kevin Taylor,@Kevin Taylor,,https://www.tiktok.com/@k_taylor460,,https://www.tiktok.com/@k_taylor460,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Aihara Enju,@aihara_enju,,https://www.tiktok.com/@aihara_enju2,,https://www.tiktok.com/@aihara_enju2,تجارة إلكترونية / محتوى,PH,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Karina Fabiana Muñoz,@Karina Fabiana Muñoz,,https://www.tiktok.com/@karikafamu1970,,https://www.tiktok.com/@karikafamu1970,تجارة إلكترونية / محتوى,AR,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Daisy Santana,@Daisy Santana,,https://www.tiktok.com/@daisysantana13,,https://www.tiktok.com/@daisysantana13,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Meg6275,@Meg6275,,https://www.tiktok.com/@southernheritagecrafts,,https://www.tiktok.com/@southernheritagecrafts,تجارة إلكترونية / محتوى,US,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Captain  Steady 69,@CAPTAIN  STEADY 69,,https://www.tiktok.com/@aremayhuzaimiey,,https://www.tiktok.com/@aremayhuzaimiey,تجارة إلكترونية / محتوى,MY,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
Dark Humor,@Dark Humor,,https://www.tiktok.com/@dark_humor_hub_,,https://www.tiktok.com/@dark_humor_hub_,تجارة إلكترونية / محتوى,GB,مصدر تجريبي عام من عينة GitHub؛ تحقق يدويًا من أن الحساب براند.,2,حساب TikTok عام من dataset تجريبي,new,2026-09-25T09:06:06+00:00,2026-09-25T09:06:06+00:00,https://raw.githubusercontent.com/luminati-io/TikTok-dataset-samples/main/tiktok-profiles.csv
